Término,Frecuencia
la luna,38
la neta,35
mi corazón,27
no sé,24
por ti,24
los emperadores,21
mi amor,20
el amor,20
aún recuerdo tu perfume,18
te extraño,18
no me le des perico,17
la verdad,15
mi vida,14
louis vuitton,14
hong kong,14
mi mundo,13
las vegas,13
luego me la paso,13
por tu maldito amor,13
empresa sm,13
yo sé,13
xitlali sarmiento,12
alguien espía,12
no es mi problema,12
santa clos jo jo jo,12
sergio vega,12
luis alfonso,11
gracias a dios,11
la mota,11
camaron caramelo caramelo,11
la quebradora,10
no sé qué,10
san judas,10
la vida,10
zumbando yo soy,10
así nomás,10
chapo guzmán,10
no me importa,10
si a usted,10
no te miento,10
la perla,9
el corazón,9
la noche,9
no quiero,9
el chapo,9
las caravanas sembrando el terror,9
donde venderán buen trago,9
eva maría,9
por tu amor,9
hold on,9
de tu piel,9
la que me emociona,9
al chile,9
no hay pedo,9
por favor,9
lady gaga,9
"ay, amor",8
no me pidas perdón,8
mi vida es un flash,8
eres mi mejor regalo,8
mia arrinconamela,8
pero yo sin ella,8
sin ti,8
ando placosón,8
mi madre,8
yo quiero estar a tu lado,8
nueva york,8
me siento lucky,8
fuerza regida,8
al fin,8
mi corazon,8
la barbie,8
t3r elemento,8
abeja reina,8
solo dios,8
mi alma,8
de ti,8
ignoraste mis lágrimas,8
por tu maldito amor no,8
no les miento,7
don julio,7
con mi camarada,7
si ya te vas,7
para siempre,7
si no está,7
por qué me enamore,7
grupo frontera,7
new york,7
una mushasha shula de chihuahua me,7
te quiero,7
mi clave,7
quiero llorarte,7
lou lou,7
mi familia,7
cuatro letras,7
los besos,7
mi compa,7
francisco lópez,7
la historia,7
a la orden,7
"tu tan fuckgirl, yo siempre tan tierno",6
el señor,6
los estados unidos,6
tito double,6
el chino,6
dios y de ti me alejó,6
si soy infiel,6
jessy uribe,6
no eres vino pa,6
el dinero,6
te amo,6
rollie datejust 62 conexione,6
dolce & gabbana traigo,6
jimmy choo,6
carteles unidos,6
give me two pasarela,6
peek-a-boo otro show,6
alley oop,6
san juditas,6
ya nada,6
nos gustamos,6
por que solo los tontos,6
tus besos,6
medalla de honor,6
espinoza paz,6
de los que,6
los vas a olvidar,6
tú sabes,6
ahí nomás,6
por eso estoy aki,6
dior inhalando,6
la plebada,6
la glock,6
pávido návido dónde,6
las estrellas,6
los problemas que traigas los vas a olvidar,6
návida componiéndose,6
no puedo acabar,6
los gallos,6
pávido návido cordón,6
dom péri,6
la ley,6
yo soy de los hombres,6
me la paso,6
porque te quiero,6
doble p,6
ti aún,6
monterrey no,6
girl después llórame,6
no sé por qué,6
sin tu amor,6
con las verdes limonadas,6
iván archivaldo,6
un día más,6
no me queda de otra,6
con los ojos,6
porque llevo buscándote,6
por eso no suelto mis rifles,6
aderall me,6
ya no sé,6
no sé dónde te,6
se me ve en la mirada,6
de esas botellitas,6
mi historia,6
del señor,6
el sol,6
son tus ojos,6
zumbando pues,6
mary jane no,6
ya llegaron las nieves de enero,6
todas las memorias,6
perdido y vagando porque tú te has ido no,6
