Término,Frecuencia
la luna,75
mi corazón,58
el amor,53
la neta,51
no sé,34
mi amor,33
mi vida,30
por ti,30
málúù dúdú,29
el corazón,28
no me importa,27
la verdad,26
te extraño,26
las vegas,24
tu amor,23
los emperadores,21
yo sé,21
te amo,20
la vida,20
mi alma,20
al fin,20
louis vuitton,18
la mota,18
aún recuerdo tu perfume,18
gracias a dios,18
tus besos,18
no me le des perico,17
te quiero,17
por favor,16
la noche,16
de ti,15
así nomás,15
hong kong,14
el sol,14
no te miento,14
málúù dúdú málúù dúdú,14
din don din don,13
me la paso,13
por tu maldito amor,13
yo quiero ser,13
mi corazon,13
mi mundo,13
empresa sm,13
maría teresa,13
luego me la paso,13
solo dios,13
el trenecito,12
"ay, ay",12
xitlali sarmiento,12
me equivoque,12
si en mi tumba yo quiero,12
nueva york,12
eres secreto de amor,12
ta tiqui,12
del ojo,12
chapo guzmán,12
las cosas,12
de tu piel,12
santa clos jo jo jo,12
no es mi problema,12
san judas,12
aser yo,12
por la mala,12
de mi vida,12
al otro quiero una morocha,12
mi madre,12
alguien espía,12
a dios,12
ay mala mujer,12
un día quiero una rubia,12
la que me emociona,12
sergio vega,12
no hay pedo,12
por tu amor,12
fuerza regida,11
que tu amor,11
sin ti,11
no me pidas perdón,11
la perla,11
new york,11
el chapo,11
tu mirada,11
camaron caramelo caramelo,11
no sé qué,11
luis alfonso,11
tu corazón,10
ya con esta me despido,10
la quebradora,10
lo que quiero,10
para siempre,10
no quiero,10
no importa,10
zumbando yo soy,10
me di,10
y báñame,10
si a usted,10
con los ojos,10
fique com sua razão que eu durmo com,10
te juro,10
t3r elemento,10
para ti,10
sua inveja é demais,10
si tú te vas,10
don juan,9
shot shot,9
las caravanas sembrando el terror,9
no me dejes,9
los besos,9
el camino,9
son doce rosas,9
lady gaga,9
yo quiero,9
el mundo,9
hold on,9
que la vida,9
a la orden,9
dom péri,9
mi compa,9
veneno de cobra bronquite,9
con un 8 la hago,9
san juditas,9
con un 8 la,9
la barbie,9
donde venderán buen trago,9
tus ojos,9
al chile,9
la tuna,9
el dinero,9
de mi alma,9
miserable fue tu amor,9
eva maría,9
doble p,9
yo quiero estar a tu lado,9
la ley,9
ven a mí,9
si tú me dices,9
