Término,Frecuencia
iván archivaldo,3
las cuatro,3
el chapo,3
dios!  por dios,3
el quelite,3
rey midas,3
don juan,3
el niño perdido,3
el torito,3
la ley,3
san antonio,3
los ángeles,3
ya ni voy al putero,2
soy el belicón,2
luis aguirre,2
chito cano,2
y no me digan,2
las rosas,2
río bravo,2
ángel azul,2
bajo perfil el chavalo,2
viejo lobo,2
durango de sonora,2
soy alegre,2
cuernos del diablo,2
los pies firmes en la tierra,2
mi madre,2
san isidro,2
mi familia tendrá todo,2
tierra blanca,2
no transitan los carros del año,2
las mansiones,2
francisco lópez,2
san francisco,2
que si vuelvo,2
la tuna,2
guzmán loera,2
boeing 727,2
a los ángeles,2
no quiero llanto,2
sobre mi tumba levanten una cruz de marihuana,2
les corre la misma sangre,2
m1 arremangan,2
manuel torres él,2
tierra caliente,2
si no le teme ni al diablo ni a las rejas,2
si es astuto y es valiente cómo,2
al fin,2
la mota,2
el caso,2
javier torres de los llanos,2
un san judas,2
viva méxico!,2
me la rifo,2
esa si me vuelve loco,2
y la negra,2
mal encachado y buchón,2
soy el jefe de jefes,2
se activa mi gente,2
los estados unidos,2
durango a,2
los tiempos malos,2
lloro aunque la jaula,2
junior h,2
mariano pérez,2
no me des excusas,2
de que me sirve el dinero,2
al peligro,2
los bravos del norte,2
cholo iván,2
súbete a la troca,2
para que me marques,2
no te voy a rogar,2
pero traigan sus gallos,2
dentro de esta gran nación,2
cuando me acuerdo,2
pero la mafia,1
del dorado,1
sean 20,1
mi equipo está siempre al mil,1
unos guaraches,1
son rápidos,1
por la forma de matar,1
por eso está donde está... a un señor,1
de día y noche vigila,1
son 24 horas diarias,1
yo sé que me andan buscando,1
dando órdenes y maestría,1
a los que iban empezando,1
los demás caen solo al aro...,1
empecherado del diario,1
no le gustan las mentiras,1
con r-15,1
el talibán,1
su lápiz,1
ya sabrán a qué,1
diez mil personas traigo a mi mando,1
la bola estaba placosa,1
amigos de un,1
había de pueblos unidos de la estación,1
mexicali de navolato,1
el dorado,1
por ahí mataron,1
festejando el año nuevo para plebitas sinaloa para,1
el que le brinda estos versos,1
pero algún día lo alcanzará.,1
apoyado por el mayo,1
por ser un hombre sincero,1
chapo guzmán,1
mis hijos son mi alegría,1
chapito guzmán,1
costales verdes,1
soy bravo,1
un saludo para mi gente de badiraguato,1
rancho de jesús maría,1
el perico,1
compadre juan,1
por mi familia,1
para los que no saben quién,1
de la cruz de lotaseuta,1
el cajetoso me llaman,1
no soy alto,1
mister lápiz,1
san rodeo,1
patio del realto,1
salón las flores,1
a uno que yo le canto,1
un hombre de veras fino,1
y sin hacer mucho ruido,1
les gusta jalar la banda,1
con su gente de confianza,1
para el cerebro el lavado,1
de niño,1
tomando cerveza y vino,1
a su compadre,1
a la flaca,1
una m grande,1
soy hijo de un gran señor que,1
dígame a mí quién,1
doble p!,1
por el tramo quince,1
solo el uno,1
les voy arrancar los sesos quema de casquillo,1
granadas perchera,1
contarios y enemigos,1
ya saben de mi calana,1
ya les he dejado hazañas,1
pues cuento con mp5s,1
te puedes dar tropezones,1
el pedo,1
mi gente espera una orden,1
por que matan por la espalda,1
sin avisar tiran plomo ala malaguena,1
que el otro esta suplicando,1
cuando a mi me torturaron,1
si le fallan al señor,1
los que me traicionaron ya saben a qué,1
los que traigo sacan lumbre,1
la traición y la codicia,1
se las dejo de tarea,1
la mano que te da de comer,1
los periódicos locales,1
al gobierno apalabrado,1
los del gobierno no duermen,1
ahí le va para todas las interesadas,1
fui trampero,1
luis r,1
yo me altero,1
los artillados,1
para decirlo aquí orgullosamente,1
con el 9 de clave,1
un buen hombre sencillo,1
gente del gobierno,1
un pomo y una cuchara,1
le tiende la mano,1
con un vaso del vino 18 festejando,1
lo lleva en sus poros,1
encargado en el puesto de mando,1
con huevos y sabe,1
se le mira al jefe limpiando,1
los males con su gente peleando a la muerte cuidando,1
los cuatro puntos cardinales,1
me avisa el piloto llegamos,1
mis paisanos me quieren,1
los güeritos me quieren guardado si una vez tropecé en sus garras escúchenme,1
le apodan el negro,1
y le apodan el z la señora h2,1
día con día cambiamos de claves,1
viviendo contento,1
una súper protege mi vida,1
un diosito,1
mil guaruras protegen mi espalda,1
habla la empresa,1
ajustes inzunza,1
"no, señor",1
yo le brindé toda mi confianza,1
lo que yo puedo hacer por usted,1
mi rostro,1
la bola sigue rodando,1
no me coso al primer hervor,1
con los versos,1
me pierdo por temporadas,1
yo no tengo quien me empuje,1
me gusta escuchar consejos,1
cuando algo me sale mal,1
me paseo,1
armas automáticas,1
de cuerno las ráfagas,1
los altos calibres,1
expansivas las balas,1
dos o tres bazucas,1
y lanzagranadas.,1
vestidos de negro,1
muy bien entrenados,1
la mafia les paga y ellos disparan,1
muchachos de arranque,1
saben del peligro,1
ya están bien curtidos,1
no quieren toparlos,1
la vida arriesgar.,1
rugen motores,1
ya van los comandos,1
la ciudad peinando,1
patrón satisfecho,1
cuando se pierde una vida,1
el destino está marcado,1
el dinero que yo traigo,1
compa óscar,1
se me calentó el terreno,1
al cien disfrutan la vida,1
san luis río colorado,1
son sus juguetes las armas,1
al caer en el retén,1
tienen finta de mañosos,1
ya con eso descubrieron que la troca iba cargada,1
al quererlos esposar,1
viajes carrillo,1
díganle al águila blanca,1
luis!  vivo,1
novecientos mil de verdes,1
los buitres,1
concha querida,1
por la capilla malverde,1
santa rosa,1
para llevarse a,1
por toda la luz del día,1
la gente,1
las dos escuadras,1
la historia,1
me da risa mirarlos tirados,1
soy cerebro,1
orgulloso me siento de mijo,1
yo juré y me propuse vengarlos,1
yo sé que,1
con un pie presionaba su pecho,1
