Unnamed: 0,title,artist,lyrics
0,A Cristo Le Voy,Oscar Ovidio,"tú satanás bien lo sabes
que en la buena o en la mala
voy a servir a mi dios
razones llevo conmigo
el mismo dios es testigo
que lo digo con valor
sin cristo nunca pudiera
más con cristo todo lo puedo
por eso a cristo le voy
él nunca mide distancias
él no conoce derrota
por eso a cristo le voy
nunca de los nuncas podrá un pobre diablo
más que un cristo vivio
siempre un cristo vivo puede más que el diablo
pobre diablo muerto
allá en el calvario en aquella tumba
demostró que él pudo
hasta lo profundo descendió mi cristo
demostró su todo"
1,A Cuánto Me Quedé,Giovanny Ayala MX,"quítame la duda porque me destruye
cuánto me hizo falta ?  qué tan cerca estuve ? 
de ser tu otra mitad tu dueño y algo más
pero dime la verdad
si tú te mirabas tan enamorada
todo iba perfecto al menos lo pensaba
y de pronto algo pasó no sé qué mosca te picó
por qué cambiaste de opinión ? 
a cuánto me quedé de ser el amor de tu vida ? 
dime cuándo te fallé ?  que no me acuerdo de ese día
porque ya le he dado muchas vueltas al asunto
quiero que me digas porque no se me hace justo
a cuánto me quedé de que nos vieran de la mano ? 
tal vez yo me confié canté victoria muy temprano
y es que el panorama se miraba tan bonito
y así me enamoré fui cayendo redondito
y el dolor cómo diablos me lo quito ? 
ay nomás dime cuánto me faltó
para quedarme con tus besos ay ay ay
a cuánto me quedé de ser el amor de tu vida ? 
dime cuándo te fallé ?  que no me acuerdo de ese día
porque ya le he dado muchas vueltas al asunto
quiero que me digas porque no se me hace justo
a cuánto me quedé de que nos vieran de la mano ? 
tal vez yo me confié canté victoria muy temprano
y es que el panorama se miraba tan bonito
y así me enamoré fui cayendo redondito
y el dolor cómo diablos me
lo quito"
2,A La Antigüita,Calibre 50,"qué bonita se ve
y ya miró que la miré
y me sonrió
le gusté y me gustó
está como para mí
como para que viva aquí
en mi corazón
y hacerla feliz
es cuestión que quiera
y le entrego todo
yo sabré cuidarla mi amor
quererla a mi modo
pero a la antigüita bonita
a la antigüita
serenatas besos
flores y cartitas
tengo mucho amor mi vida
para tirar para arriba
pero a la antigüita bonita
a la antigüita
usted no es opción
es un privilegio
si me da el honor de tenerla
yo voy a quererla bonita
pero a la antigüita
y puro calibre 50 chiquitita
es cuestión que quiera
y le entrego todo
yo sabré cuidarla mi amor
quererla a mi modo
pero a la antigüita bonita
a la antigüita
serenatas besos
flores y cartitas
tengo mucho amor mi vida
para tirar para arriba
pero a la antigüita bonita
a la antigüita
usted no es opción
es un privilegio
si me da el honor de tenerla
yo voy a quererla bonita
pero a la antigüita"
3,A La Brava,Los Dareyes de La Sierra,"ante noche serapio y tibursio
me vinieron corriendo a visar
que el papa y la mama de mi chata
se la llevan a la capital
ensille mi caballo y al trote
fui corriendo a saber la verdad
encontre la casita muy triste
como un niño me puse a llorar
su papa y su mama no me quieren
y con otro la quieren casar
estan buscando que yo me robe
a la brava me la he de llevar
mi caballo y mi perro estan tristes
por que anoche me vieron llorar
saben bien que los hombres no lloran
pero ayer no me pude aguantar
su papa y su mama no me quieren
y con otro la quieren casar
estan buscando que yo me robe
a la brava me la he de llevar
mas en fin me despido señores
llevo herido mi fiel corazon
a la brava me llevo a la joven
o talvez me la llevo a traicion"
4,A La Moda,Los Obreros Del Norte,"a la moda y en buenos carros y mis plebes bien armados
bien vestidos y de trajes y por dentro empecherados
lentes prada y sus rosarios brillantes por todos lados
asi se navega el jefe a la moda trabajando
ya lo conoce la gente y tambien a sus muchachos
lanza granda y bazuca de volada arremangamos
hugo boss dolce & gabanna y en su cara lentes prada
con un rolex de diamantes y la cheyenne blindada
entrando al hotel de lujo junto con sus guarda espaldas
hay miraron al muchacho en un challenger del año
hiban camionetas duras y varios encapuchados
y la moda ke no falla andavan encarrizados
los miraron en un antro por cierto muy alterados
con botellas en exceso y las plebes por un lado
con ese porte elegante protegiendo akel muchacho
hugo boss dolce & gabanna y en su cara lentes prada
con un rolex de diamantes y la chayenne blindada
entrando al hotel de lujo junto con sus guarda espaldas"
5,A La Orden Del Barbon part La Banda del Charko,Julián Mercado,"a la orden del barbón
aquí peleam'os la razón
no nos dejamos y eso ya está demostrado
el diserido el hombre de acción ordena
y manda aquí en la región un señorón
muy serio y también respetado
nueva plebada misma canción
la vieja escuela no se perdió
y aquí seguimos siendo 100% gonzalo
con el equipo y fuerte atracción
nadie se tumbe en el calorón
hay nuevos vientos pero traemos
vela en el barco
ruedas de choque y camisa en uno
y pa que sepan uno más uno suman mi clave
no estoy manchado doy plato justo
listo los comandantes y grupos para atorarle
bienvenidos aquí en el charco tienen su casa
el camino está bien marcado no quieran
salirse de la raya
la lealtad para el quinto mes
aquí la gente del charri al 100
se porta equipo se cuida al viejo
y tengan cuidado
claves apodos cuernos rs
los plebes hacen bien su deber
y en las playas se ve el movimiento
no hemos parado
las corrientadas aquí no van
ajustamos al que hace el mal
la orden del viejo es mantener el terreno calmado
cargamos equipo
de nivel
minis y brownies pa defender
lo que por años se ha disputado
y se ha conservado
hay nuevas zonas hay nuevos aires
y no está de más recomendarles
no entren al agua
no somos malos pero se cuida
lo que para nosotros es familia
y hay para cuidarla
sobra el respaldo y hay presupuesto
nos sobran ganas bienvenidos aquí al peñasco
nada más que pasen con calma"
6,A Lo Lejos Me Veran,El de La Guitarra,"por las calles ya me miraron pasar
mis muchachos bien cuidado me traerán
caravanas a lo lejos se verán
el equipo siempre listo para chambear
vivo al día no me voy a preocupar
si mi dios se baja a reclamar
listo estoy para las cuentas saldar
fuerte soy nunca débil me verán
me gusta la banda me gusta el norteño
bailar las plebitas me pone contento
el de la guitarra está amenizando
y el mundo es mío voy a disfrutarlo
las cachas doradas fajadas al cinto
la gorra bien puesta los lentes al tiro
ya sea prada gucci tal vez ferragamo
listo con estilo para que la jugamos
no tolero envidias menos traicioneros
los que se animaron ya están con san pedro
saquen el cuaderno y apunten los versos
no digo mi nombre de tarea les dejo
porque lo prometido es deuda viejones
su compita el de la guitarra
jalo para la playa el fin de semana
ahí nos destrampamos con unas muchachas
agarro la peda hasta amanecer
con un pasecito estamos al cien
se oyen los motores de motos tronando
andan por las dunas tierra levantando
me pega la brisa del mar otra vez
gozar esta vida se puede una vez
me gusta la banda me gusta el norteño
bailar las plebitas me pone contento
el de la guitarra está amenizando
el mundo es mío voy a disfrutarlo
por las calles ya me miraron pasar
mis muchachos bien cuidado me traerán
caravanas a lo lejos se verán
el equipo siempre listo para chambear
vivo al día no me voy a preocupar
si mi dios se baja a reclamar
listo estoy para las cuentas saldar
fuerte soy nunca débil me verán"
7,A Lo Mejor,Banda MS de Sergio Lizárraga,"a lo mejor te olvido
a lo mejor jamás
a lo mejor te pienso
un poco más que más
a lo mejor te llamo por las noches
a lo mejor tú cuelgas mi llamada
te juro que no estoy exagerando
cuando te digo que sin ti soy nada
a lo mejor tú tienes más orgullo
a lo mejor yo tengo más problemas
en recordar que una vez me dijiste
que estar conmigo no valía la pena
pero quién olvida al amor de su vida
en un par de días
en un par de noches
uoh
tal vez solo tú
o tal vez ni tú
pues si me olvidas así
nunca fui el amor de tu vida
a lo mejor te llamo por las noches
a lo mejor tú cuelgas mi llamada
te juro que no estoy exagerando
cuando te digo que sin ti soy nada
a lo mejor tú tienes más orgullo
a lo mejor yo tengo más problemas
en recordar que una vez me dijiste
que estar conmigo no valía la pena
pero quién olvida al amor de su vida
en un par de días
en un par de noches
uoh
tal vez solo tú
o tal vez ni tú
pues si me olvidas así
nunca fui el amor de tu vida"
8,A Los Ángeles Del Cielo,Adan Chalino Sanchez,"a los ángeles del cielo te pareces en lo linda y en lo hermoso no desprecies al que quiere ser tu esposo hoy que vengo rendido de amor
de tu vista yo quisiera una mirada de esos ojos celestiales un besito de tus labios de corales me lo dieras enchido de amor
con las flores mas hermosas te comparo con las gotas del rocío como quieres que te olvide ángel mío si eres dueña de mi corazón
como quieres que te olviden ángel mío si aquí traigo tu retrato tú quisiste basilar conmigo un rato y hoy me tienes rendido de amor
de tu vista yo quisiera una mirada de esos ojos celestiales un besito de tus labios de corales me lo dieras enchido de amor
a los ángeles del cielo te pareces en lo linda y en lo hermoso no desprecies al que quiere ser tu esposo hoy que viene rendido de amor"
9,A Mi Madresita,Los Nuevos Rebeldes,"pregunto mi madresita
q porq tanto dinero
la pobresita no sabe
q me encuentro prisionero
por matar a una persona
q los narcos me pidieron
si matas a ese cobarde
tu gente va a estar segura
si tu te vas a la carcel
no tengas la menor duda
tu gente tendra de todo
asta el dia q tu te pudras
en una carta mi madre
dise q a q me dediko
si supiera q estoy preso
por cometer un delito
por el bien de mi familia
me converti en asesino
las cartas q a mi me llegan
me las traen otros señores
yo desde aqi le contesto
poniendo otras direcciones
si les digo q estoy preso
dañaria sus corazones
encerrado d por vida
en estas malditas rejas
en los estados unidos
en el estado de texas
no dudo q me asesinen
ya tienen las leyes puestas
ayer mandaron el cuerpo
de un reo q estaba en presidio
disen q se aorco a la fuerza
solo causo su suicidio
tenia una carta en sus manos
su madre abia fallecido"
