Unnamed: 0,title,artist,lyrics
0,A Caballo,José Manuel Figueroa,"soy de a caballo señores
mas no vengo a presumirles
escúchenme valedores
que tengo algo que decirles
después de tanto porrazo
que la vida me ha pegado
algo podrán aprender
de este jinete afamado
no elijan a su potranca
nada mas por la hermosura
que sea bonita de anca
y que de rienda no sea dura
después de andar jineteando
por praderas y montañas
yo les juro que prefiero amansar
que quitar mañas
soy de a caballo señores
y a caballo me despido
vine a contarles un poco
de lo mucho que he vivido
después de andar jineteando
por praderas y montañas
yo les juro que prefiero amansar
que quitar mañas"
1,A Cada Instante,Leandro Ríos,"a cada
instante
tengo recuerdos
tuyos
a cada
instante
veo
tus negros
ojos
oigo
en mis noches
palabras
de ternura
luego
despierto
y contemplo
tu hermosura
que lindo
pelo
que hermosa
voz
morena linda
dame
tu amor
a cada
instante
te traigo
en mis pensamientos
a cada
instante
me trae
tu voz
el viento
tus largas
manos
me acarician
en mis sueños
y por mi cuello
se enreda
tu cabello
que lindo
pelo
que hermosa
voz
morena
linda
dame
tu amor
cuando
cuando
cuando
cuando
vendras
vuelve
vuelve
vuelve
pero pronto
ya
a cada
instante
te traigo
en mis pensamientos
a cada
instante
me trae
tu voz
el viento
tus largas
manos
me acarician
en mis sueños
y por mi cuello
se enreda
tu cabello
que lindo
pelo
que hermosa
voz
morena
linda
dame
tu amor
cuando
cuando
cuando
cuando
vendras
vuelve
vuelve
vuelve
pero pronto
ya
a cada
instante
tengo recuerdos
tuyos
a cada
instante
veo
tus negros
ojos
oigo
en mis noches
palabras
de ternura
luego
despierto
y contemplo
tu hermosura
que lindo
pelo
que hermosa
voz
morena linda
dame
tu amor"
15,A Ella,El Poder Del Norte,"a ella
que siempre esta dispuesta a estar conmigo
que no me niega nada sin motivos
que no le importa donde y como vivo
para ella no solo soy su amante soy su amigo
a ella
que no espera de mi un joya en oro
solo le sobra y basta que le adoro
y sufre intensamente cuando lloro
es ella quien me da fortaleza es un tesoro
a ella
quien no ha ido conmigo al altar
sin anillos ni flores de azar
solo le basta un corazón para amar
a ella
quien no ha ido conmigo al altar
sin anillos ni flores de azar
tiene dulzura y un mar de amor para dar
a ella
que no me exige nada solo un beso
a cambio de su amor con enbelezo
no le firme un papel y le profeso
amor que llena todo el universo
a ella
tan clara cual la luz de la manaña
desea que el mundo sepa que me ama
si aún no le he llamado ella me llama
es tierna cariñosa es una dama"
17,A Escondidas,Los Hermanos Medina,"cumbia
los medina
tú tienes quien te quiera y yo lo acepto
tenemos que guardar este secreto
tenemos que fingir no conocernos
tenemos que ocultar que nos queremos
si te preguntan quién soy inventa cualquier cosa
yo también diré lo mismo aunque te quito la ropa
si te preguntan quién soy inventa cualquier cosa
yo también diré lo mismo aunque te quito la ropa
por qué será que amarnos a escondidas
acelera el corazón y hace fuerte esta pasión ? 
por qué será que amarnos a escondidas
acelera el corazón y hace fuerte esta pasión
por ti ? 
sigue la cumbia
los medina
esta pasión cada vez es más fuerte
tenemos que cuidarnos de la gente
a solas parecemos dos dementes
nos vamos devorando lentamente
si te preguntan quién soy inventa cualquier cosa
yo también diré lo mismo aunque te quito la ropa
si te preguntan quién soy inventa cualquier cosa
yo también diré lo mismo aunque te quito la ropa
por qué será que amarnos a escondidas
acelera el corazón y hace fuerte esta pasión ? 
por qué será que amarnos a escondidas
acelera el corazón y hace fuerte esta pasión
por ti ? 
por qué será que amarnos a escondidas
acelera el corazón y hace fuerte esta pasión ? 
por qué será que amarnos a escondidas
acelera el corazón y hace fuerte esta pasión
por ti ? "
26,A Golpe de Hacha,Los Humildes,"no van
a creer
mis amigos
yo fui
más pobre
que ustedes
también
yo fui
campesino
respetuoso
con las leyes
pero el tiempo
en que vivimos
jugar
limpio
no se
puede
yo me echaba
a conseguir
con los ricos
de mi pueblo
sembraba
mi ajonjolí
en un barbecho
del cerro
pagándomelo
a dos
mil
nunca saqué
ni el dinero
ahora
mis siembras
son otras
de lo de antes
ni me acuerdo
me puse
a pensar
las cosas
quería estrenar
carro nuevo
y le sembré
pura mota
a las barrancas
del cerro
ahora
ando
muy elegante
ya me dicen
don fulano
tengo dos
o tres
amantes
y algunas
trocas
del año
dinero
para gastar
ahora
yo vivo
tomando
y si
se me arma
el relajo
entonces billetes
cuando él
se embolsó
dos
tres fajos
de esos
que traen
el venado
la policía
y los guachos
hasta me arañan
las manos
que me canten
los humildes
mis corridos
y canciones
al cabo
paral cementerio
no he
de llevar
los millones
trae cerveza
cantinero
que al cabo
el cerro
responde"
27,A La Luz Del Día,Patsy Torres,"amanecer a tu lado
es lo que quiero de ti
porque contigo he soñado
lo que por ti aprendí
amaneciendo a tu lado
me entregas todo tu amor
yo quiero ser tu cariño
yo quiero ser tu destino
y amanecer junto a ti
quiero entregarme contigo
en una noche de amor
quiero llenarte de besos
que sientas tú mi pasión
amaneciendo a tu lado
después de darnos amor
yo quiero ser tu pecado
yo quiero estar a tu lado
y amanecer junto a ti
que a la luz del día
empiece el día con tu pasión
porque yo quiero tus besos
porque yo quiero tu amor
que a la luz del día
empiece el día con nuestro amor
y amaneciendo a tu lado
voy a entregarte mi amor
que a la luz del día
empiece el día con tu pasión
porque yo quiero tus besos
porque yo quiero tu amor
que a la luz del día
empiece el día con nuestro amor
y amaneciendo a tu lado
voy a entregarte mi amor uhuhuh"
28,A Las Tres,Relampaguitos,"quizá
dónde andará
esa niña
la que
me ha dejado
esperando
aquí
aquella
que al leer
mi nombre
sabe
que su nombre
me hace
muy feliz
tal vez
no se imagina
entonces
que yo
soy
el hombre
que la quiere
así
con ese
caminar
tan frágil
como si
en espinas
caminara
al fin
cuando estoy
solo
me hace
falta su voz
la alegría
de su voz
cuando
me habla
de amor
aquí
me dijo
que esperara
a las tres
ya han
pasado
las tres
y no vino
a las tres
quizá
no pudo
escaparse
pa venir
al parque
donde
espero
yo
tal vez
se me volvió
cobarde
y no
quiso
enfrentarse
ante
tanto amor
tal vez
se me volvió
cobarde
será
que no
pudo escaparse
o se
le ha perdido
el camino
para venir a
a estar
conmigo
su amor
es como
un mar
tranquilo
es profundo
y grande
que enamora
más
y tiene
una sonrisa
bella
que hasta
las estrellas
quisieran robar
sus besos
tienen néctar
puro
el rosal
más bello
que hay
en mi región
y sabe
bien
que un cielo
oscuro
algún día
le llegan
los rayos
del sol
si no
ha venido
otro día
la veré
si es
que quiere
volver
a mi lado
otra vez
estoy seguro
que también
le dolió
porque
aquí
me dejó
solo
con la ilusión
quizá
no pudo
escaparse
pa venir
al parque
donde
espero
yo
tal vez
se me volvió
cobarde
y no
quiso
enfrentarse
ante
tanto amor
tal vez
se me volvió
cobarde
será
que no
pudo escaparse
o se
le ha perdido
el camino
para venir a
a estar
conmigo
o se
le ha perdido
el camino
para venir a
a estar
conmigo
o se
le ha perdido
el camino
para venir a
a estar
conmigo"
29,A Los Amigos,Voz de Mando,"a los amigos que an quedado en el camino
en las campañas por las balas abatidos
se les respeta con respeto y con cariño
en la memoria de su gente viviran
tanta aventura tanto terreno avanzado
hombres de talla nunca nunca se rajaron
y solo en venja solo podian ser superados
por que el valiente siempre muere a traicion
ahora las calles se ven cubiertas de lodo
por tanta sangre mezclada con polvo
la madre llora al que fuera su tesoro
y en los panteones la banda se oie sonar
contra el gobierno sin complejo se enfrentaban
a los rivales les llovieron tantas balas
cualquier encargo sin problema realizaban
siempre hace falta su aguerrida voluntad
profecionales y expertos con las armas
muchos de ellos conoci desde la infancia
soldados recios compañeros de parranda
me parte el alma de tan solo recordar
a los amigos adios adios hermanos de armas
en mi recuerdo llevare tantas azañas
no los olvido y aun guardo la esperanza
de un dia encontrarnos cuando llegue mi final"
30,A Los Cuatro Vientos,Traileros Del Norte,"dejen
que el llanto
me bañé
el alma
quiero llorar
traigo
un sentimiento
quiero gritar
a los cuatro
vientos
que no soy
nada
que no soy
nadie
que nada
valgo
sin tu querer
mujer
quiero
que sepas
que ando
llorando
como
los hombres
no
los borrachos
quiero
que sepas
que estoy
pagando
con llanto
amargo
mi falso
orgullo
mi vanidad
dejen
que el llanto
me bañé
el alma
no es
que yo quiera
sentirme
un santo
dejen llorar
yo no
sé
qué traigo
no sé
qué traigo
en el corazón
quiero
que sepas
que al verte
ajena
mi falso
orgullo
se doblego
que poco
valgo
sin tu cariño
que poco
valgo
ya sin
tu amor
dejen
que el llanto
me bañé
el alma
no es
que yo quiera
sentirme
un santo
dejen llorar
yo no
sé
qué traigo
no sé
qué traigo
en el corazón
quiero
que sepas
que al verte
ajena
mi falso
orgullo
se doblego
que poco
valgo
sin tu cariño
que poco
valgo
ya sin
tu amor"
31,A Medias de La Noche,Los Reyes de Sinaloa,"a medias de la noche te soñaba
te soñaba abrasandote conmigo
te soñaba abrasandote conmigo
pero hay que sueño tan profundo es el amor
despierta mamacita ya no duermas
despierta de ese sueño seductor
tomaremos copas llenas de licor
pero hay que sueño tan profundo es el amor
despierta mamacita ya no duermas
despierta de ese sueño seductor
tomaremos copas llenas de licor
pero hay que sueño tan profundo es el amor"
